brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,price
Hyundai,Manual,2018.0,Petrol,1197.0,40398.0,4356.0
Maruti,Manual,2017.0,Petrol,998.0,60446.0,3850.0
Renault,Manual,2016.0,Petrol,999.0,20709.0,2882.0
Honda,Manual,2017.0,Petrol,1497.0,78608.0,6358.0
Datsun,Manual,2018.0,Petrol,799.0,84695.0,2277.0
Maruti,Manual,2018.0,CNG,998.0,56257.0,4036.9999999999995
Maruti,Manual,2018.0,Petrol,1197.0,27356.0,6259.0
Maruti,Manual,2019.0,Diesel,1498.0,61329.0,7722.0
Hyundai,Manual,2020.0,Diesel,1396.0,46446.0,8073.999999999999
Renault,Automatic,2017.0,Petrol,999.0,41308.0,3135.0
Tata,Manual,2018.0,Petrol,1199.0,94259.0,4224.0
Honda,Manual,2016.0,Petrol,1199.0,79166.0,4202.0
Hyundai,Manual,2019.0,Petrol,1086.0,61839.0,4367.0
Maruti,Manual,2020.0,Petrol,1197.0,46628.0,5742.0
Maruti,Manual,2018.0,CNG,998.0,87192.0,4114.0
Tata,Manual,2022.0,Diesel,1497.0,45834.0,8844.0
Maruti,Manual,2022.0,Petrol,1197.0,18015.0,5808.0
Tata,Manual,2020.0,Diesel,1497.0,52276.0,7897.999999999999
Ford,Manual,2018.0,Petrol,1194.0,87411.0,4862.0
Maruti,Manual,2019.0,Petrol,1197.0,47484.0,4741.0
Hyundai,Manual,2021.0,Petrol,1197.0,19866.0,8415.0
Maruti,Manual,2023.0,Petrol,998.0,21607.0,5137.0
Hyundai,Manual,2015.0,Petrol,1197.0,62536.0,3421.0
MG,Manual,2019.0,Diesel,1956.0,33306.0,14146.0
Hyundai,Automatic,2019.0,Diesel,1582.0,67168.0,11407.0
Ford,Manual,2019.0,Diesel,1498.0,27603.0,7370.0
Maruti,Manual,2020.0,Petrol,1197.0,36323.0,7172.0
Hyundai,Manual,2018.0,Petrol,1999.0,43368.0,13475.0
Hyundai,Manual,2019.0,Diesel,1396.0,51919.0,8965.0
Maruti,Manual,2022.0,Petrol,1462.0,15994.0,9592.0
Honda,Manual,2016.0,Petrol,1497.0,72308.0,5753.0
Honda,Manual,2018.0,Petrol,1199.0,27051.0,5665.0
Tata,Manual,2018.0,Petrol,1199.0,35764.0,4631.0
Renault,Manual,2021.0,Petrol,999.0,46375.0,7194.0
MG,Automatic,2019.0,Petrol,1451.0,14172.0,14168.0
Maruti,Manual,2020.0,Petrol,1197.0,27841.0,6391.0
Tata,Manual,2021.0,Diesel,1956.0,30203.0,17006.0
Maruti,Manual,2021.0,Petrol,1197.0,25742.0,5236.0
Honda,Manual,2015.0,Petrol,1198.0,91116.0,3520.0
Tata,Manual,2020.0,Petrol,1199.0,30274.0,6545.0
Renault,Automatic,2021.0,Petrol,999.0,30195.0,7821.0
KIA,Manual,2022.0,Petrol,1497.0,51566.0,12782.0
KIA,Manual,2022.0,Petrol,998.0,4763.0,10791.0
Hyundai,Manual,2023.0,Petrol,1197.0,20051.0,9790.0
Volkswagen,Manual,2019.0,Petrol,999.0,68763.0,5874.0
Hyundai,Manual,2015.0,Petrol,1197.0,63079.0,3377.0
Maruti,Manual,2022.0,Petrol,1462.0,15983.0,9372.0
Maruti,Manual,2020.0,Petrol,1197.0,55790.0,6886.0
KIA,Manual,2021.0,Petrol,1497.0,38307.0,11638.0
Nissan,Automatic,2022.0,Petrol,999.0,18193.0,9196.0
Hyundai,Manual,2019.0,Petrol,998.0,57649.0,8018.999999999999
Honda,Automatic,2023.0,Petrol,1199.0,8376.0,8976.0
Renault,Manual,2022.0,Petrol,999.0,13196.0,7590.0
Maruti,Manual,2012.0,Petrol,1373.0,54751.0,4477.0
Datsun,Manual,2019.0,Petrol,1198.0,27695.0,4400.0
Honda,Manual,2017.0,Petrol,1497.0,102835.0,6688.0
Honda,Manual,2019.0,Petrol,1199.0,37864.0,5973.0
Honda,Automatic,2017.0,Petrol,1497.0,42012.0,8954.0
Hyundai,Manual,2013.0,Petrol,1197.0,31479.0,3476.0
KIA,Manual,2021.0,Petrol,1497.0,26456.0,13431.0
Toyota,Manual,2021.0,Petrol,1462.0,42381.0,9482.0
Renault,Automatic,2019.0,Petrol,999.0,13568.0,4246.0
Maruti,Automatic,2022.0,Petrol,1462.0,21566.0,10714.0
KIA,Manual,2019.0,Petrol,1497.0,85336.0,11352.0
Maruti,Manual,2015.0,Petrol,1197.0,35817.0,4147.0
Hyundai,Manual,2019.0,Diesel,1582.0,72781.0,12254.0
Jeep,Manual,2020.0,Petrol,1368.0,76041.0,11715.0
Maruti,Manual,2016.0,Petrol,1373.0,60440.0,5258.0
Mahindra,Manual,2019.0,Diesel,2179.0,45984.0,11121.0
Jeep,Manual,2018.0,Diesel,1956.0,53738.0,10648.0
Maruti,Manual,2021.0,Petrol,796.0,8945.0,4003.9999999999995
KIA,Manual,2020.0,Diesel,1493.0,68421.0,8921.0
Tata,Manual,2021.0,Petrol,1199.0,8119.0,9438.0
MG,Automatic,2019.0,Petrol,1451.0,8797.0,14718.0
Maruti,Manual,2017.0,Petrol,1197.0,32348.0,5236.0
Honda,Manual,2017.0,Petrol,1497.0,115810.0,6413.0
Mahindra,Manual,2020.0,Petrol,1197.0,40924.0,7491.0
Maruti,Manual,2016.0,Petrol,1197.0,33099.0,5203.0
MG,Automatic,2020.0,Petrol,1451.0,66590.0,13959.0
Hyundai,Manual,2020.0,Petrol,1497.0,80554.0,10648.0
KIA,Automatic,2019.0,Diesel,1493.0,51955.0,13926.0
Hyundai,Automatic,2016.0,Petrol,1591.0,61059.0,7864.999999999999
Tata,Manual,2023.0,Petrol,1199.0,24415.0,10659.0
Maruti,Manual,2018.0,Petrol,1197.0,65268.0,5599.0
Maruti,Manual,2012.0,Petrol,1197.0,34096.0,2816.0
Maruti,Manual,2022.0,Petrol,1197.0,35230.0,6886.0
Toyota,Automatic,2019.0,Petrol,1197.0,55311.0,6842.0
Hyundai,Manual,2020.0,Petrol,1497.0,61464.0,12892.0
KIA,Manual,2019.0,Petrol,1497.0,32251.0,12397.0
Maruti,Automatic,2022.0,Petrol,1197.0,27052.0,8987.0
KIA,Manual,2022.0,Petrol,998.0,22078.0,10538.0
Jeep,Manual,2019.0,Diesel,1956.0,93467.0,10230.0
Maruti,Manual,2018.0,Petrol,1197.0,21574.0,6930.0
Maruti,Manual,2016.0,Petrol,796.0,97698.0,2420.0
Mahindra,Automatic,2021.0,Petrol,1997.0,31332.0,14498.0
Mahindra,Automatic,2021.0,Petrol,1997.0,25411.0,15015.0
Hyundai,Automatic,2019.0,Petrol,1591.0,69534.0,11495.0
Hyundai,Manual,2014.0,Petrol,1197.0,87564.0,4873.0
Hyundai,Manual,2021.0,CNG,1197.0,19115.0,6710.0
Maruti,Manual,2019.0,Petrol,1197.0,59602.0,6193.0
KIA,Manual,2019.0,Petrol,1497.0,64349.0,11583.0
Maruti,Manual,2022.0,Petrol,1462.0,35483.0,9570.0
Hyundai,Manual,2018.0,CNG,1197.0,87009.0,5104.0
Datsun,Manual,2021.0,Petrol,799.0,36150.0,3454.0
Maruti,Automatic,2021.0,Petrol,1462.0,29125.0,9119.0
Honda,Manual,2012.0,Petrol,1497.0,77380.0,3223.0
Tata,Automatic,2017.0,Petrol,1199.0,102235.0,4114.0
Hyundai,Manual,2020.0,Petrol,1497.0,14693.0,12364.0
Renault,Manual,2021.0,Petrol,1330.0,50108.0,10219.0
Hyundai,Manual,2019.0,Petrol,1591.0,17333.0,9746.0
Hyundai,Manual,2015.0,Petrol,1591.0,102963.0,6259.0
Ford,Manual,2020.0,Diesel,1498.0,71807.0,7469.0
Tata,Manual,2020.0,Petrol,1199.0,53413.0,5555.0
Maruti,Manual,2015.0,Petrol,1197.0,71287.0,3718.0
Renault,Manual,2013.0,Petrol,1598.0,77978.0,3454.0
Mahindra,Manual,2019.0,Diesel,2179.0,56200.0,10439.0
Maruti,Manual,2021.0,Petrol,1197.0,11344.0,6314.0
Maruti,Automatic,2020.0,Petrol,1197.0,15673.0,8206.0
Renault,Automatic,2020.0,Petrol,999.0,45704.0,4433.0
Hyundai,Manual,2016.0,CNG,1591.0,84938.0,7491.0
Hyundai,Automatic,2020.0,Petrol,998.0,42349.0,11627.0
Datsun,Manual,2018.0,Petrol,799.0,30684.0,2541.0
Maruti,Automatic,2021.0,Petrol,1462.0,57060.0,8888.0
Volkswagen,Manual,2018.0,Petrol,999.0,96717.0,5368.0
Hyundai,Manual,2017.0,Petrol,1197.0,96739.0,4114.0
Hyundai,Manual,2015.0,Petrol,1197.0,38116.0,4510.0
Maruti,Manual,2020.0,Petrol,1197.0,25069.0,6270.0
KIA,Manual,2020.0,Petrol,998.0,37438.0,9614.0
KIA,Automatic,2019.0,Petrol,1353.0,49161.0,14476.0
Tata,Manual,2018.0,Petrol,1199.0,60364.0,4730.0
Tata,Automatic,2018.0,Petrol,1199.0,97131.0,4873.0
Mahindra,Automatic,2021.0,Petrol,1997.0,30914.0,14740.0
Mahindra,Automatic,2019.0,Diesel,2179.0,36660.0,13882.0
Maruti,Manual,2017.0,Petrol,1197.0,55771.0,4433.0
KIA,Automatic,2019.0,Petrol,1353.0,24009.0,15455.0
Ford,Manual,2020.0,Diesel,1498.0,62541.0,9086.0
Hyundai,Manual,2019.0,Petrol,998.0,17536.0,9350.0
Tata,Manual,2022.0,Petrol,1199.0,21897.0,9064.0
Hyundai,Manual,2015.0,Petrol,1197.0,96142.0,3542.0
Maruti,Automatic,2021.0,Petrol,1197.0,38768.0,7348.0
KIA,Manual,2022.0,Petrol,998.0,29811.0,11264.0
Volkswagen,Automatic,2018.0,Petrol,1197.0,106608.0,7469.0
Hyundai,Manual,2021.0,Petrol,998.0,39415.0,9746.0
Maruti,Manual,2021.0,Petrol,1197.0,30314.0,6512.0
Mahindra,Automatic,2022.0,Petrol,1997.0,29045.0,15367.0
Datsun,Manual,2021.0,Petrol,799.0,15680.0,3344.0
Honda,Manual,2016.0,Petrol,1497.0,97885.0,6061.0
Nissan,Manual,2022.0,Petrol,999.0,13843.0,6083.0
Datsun,Manual,2019.0,Petrol,1198.0,30616.0,4521.0
Maruti,Automatic,2019.0,Petrol,1197.0,36124.0,6490.0
Honda,Automatic,2023.0,Petrol,1199.0,13137.0,10087.0
Tata,Automatic,2022.0,Diesel,1956.0,27222.0,19415.0
Maruti,Manual,2019.0,Petrol,1462.0,66068.0,7293.0
Maruti,Manual,2017.0,CNG,998.0,110029.0,3575.0
Maruti,Manual,2015.0,Petrol,1197.0,65365.0,3905.0
Maruti,Manual,2021.0,Petrol,796.0,9171.0,3937.9999999999995
Tata,Automatic,2019.0,Petrol,1198.0,61470.0,7842.999999999999
Tata,Automatic,2022.0,Petrol,1199.0,24933.0,8679.0
Maruti,Manual,2020.0,Petrol,1197.0,61172.0,5951.0
Honda,Manual,2015.0,Petrol,1198.0,44993.0,3916.0
Maruti,Manual,2013.0,Petrol,1197.0,61671.0,3102.0
Tata,Automatic,2022.0,Petrol,1199.0,13124.0,10637.0
Maruti,Manual,2020.0,CNG,998.0,18852.0,5676.0
Maruti,Automatic,2017.0,CNG,1373.0,90034.0,7084.0
Maruti,Automatic,2019.0,Diesel,1248.0,59343.0,6974.0
Honda,Manual,2015.0,Petrol,1198.0,41525.0,3839.0
Hyundai,Manual,2016.0,Petrol,1591.0,45368.0,7205.0
Maruti,Manual,2014.0,Petrol,1373.0,58546.0,4444.0
Hyundai,Manual,2016.0,CNG,1197.0,57121.0,4356.0
Tata,Manual,2021.0,Petrol,1199.0,24927.0,5665.0
Mahindra,Manual,2019.0,Petrol,1197.0,39926.0,9119.0
Maruti,Manual,2017.0,Petrol,1197.0,61039.0,4609.0
Jeep,Manual,2019.0,Petrol,1368.0,59431.0,12639.0
Maruti,Automatic,2022.0,Petrol,1197.0,36051.0,7293.0
Honda,Manual,2016.0,Petrol,1198.0,52996.0,4510.0
Maruti,Manual,2019.0,CNG,1197.0,47849.0,5907.0
Maruti,Manual,2015.0,Petrol,1197.0,59365.0,4091.9999999999995
Tata,Automatic,2022.0,Diesel,1497.0,19703.0,11583.0
Renault,Manual,2020.0,Petrol,799.0,62083.0,3916.0
Maruti,Manual,2020.0,Petrol,998.0,15966.0,4312.0
Hyundai,Manual,2016.0,Petrol,1197.0,74240.0,4928.0
Nissan,Automatic,2022.0,Petrol,999.0,42637.0,8745.0
MG,Automatic,2020.0,Petrol,1451.0,50365.0,13706.0
Tata,Manual,2020.0,Petrol,1199.0,73158.0,5269.0
Hyundai,Manual,2014.0,Petrol,1197.0,78713.0,3817.0
Tata,Manual,2017.0,Petrol,1198.0,82375.0,6490.0
Maruti,Manual,2017.0,Petrol,1197.0,23582.0,4818.0
Hyundai,Manual,2019.0,Petrol,1086.0,49352.0,4543.0
Ford,Manual,2018.0,Petrol,1497.0,99535.0,6391.0
Maruti,Manual,2022.0,CNG,1197.0,47217.0,8745.0
Maruti,Automatic,2018.0,Petrol,1373.0,46850.0,6325.0
Hyundai,Manual,2016.0,Petrol,1197.0,54148.0,5423.0
Honda,Automatic,2015.0,Petrol,1497.0,39168.0,5742.0
KIA,Manual,2022.0,Diesel,1493.0,23502.0,10505.0
Hyundai,Automatic,2017.0,Petrol,1591.0,67495.0,9152.0
Maruti,Automatic,2016.0,Petrol,998.0,19759.0,4433.0
Honda,Manual,2015.0,Petrol,1497.0,91368.0,5467.0
Maruti,Manual,2013.0,Petrol,1197.0,36536.0,3509.0
Nissan,Manual,2021.0,Petrol,999.0,42886.0,7392.0
KIA,Manual,2021.0,Diesel,1493.0,28209.0,10769.0
Maruti,Manual,2019.0,Petrol,1197.0,19085.0,5049.0
Hyundai,Manual,2015.0,Petrol,1591.0,102445.0,5192.0
Maruti,Manual,2012.0,Petrol,1197.0,51629.0,2926.0
Maruti,Manual,2013.0,Petrol,998.0,70322.0,2519.0
Hyundai,Manual,2018.0,Petrol,1591.0,48108.0,8833.0
Hyundai,Manual,2020.0,Petrol,1197.0,56215.0,6061.0
Ford,Manual,2018.0,Petrol,1497.0,70008.0,7172.0
Hyundai,Manual,2014.0,Petrol,1197.0,85321.0,3883.0
Maruti,Manual,2012.0,Petrol,1197.0,43425.0,2761.0
Maruti,Automatic,2017.0,Petrol,998.0,40144.0,4323.0
Maruti,Manual,2017.0,Petrol,998.0,54614.0,3806.0
Hyundai,Manual,2018.0,CNG,1197.0,60152.0,5236.0
Renault,Manual,2019.0,Diesel,1461.0,40838.0,7842.999999999999
Maruti,Manual,2017.0,Petrol,1197.0,47968.0,4488.0
Hyundai,Manual,2018.0,Petrol,1197.0,75742.0,4433.0
Hyundai,Manual,2013.0,Petrol,1591.0,108787.0,4114.0
Maruti,Manual,2019.0,Petrol,1197.0,65533.0,5533.0
Hyundai,Manual,2020.0,Petrol,998.0,43417.0,9108.0
Maruti,Manual,2019.0,Petrol,1197.0,35337.0,5940.0
Maruti,Manual,2017.0,Petrol,1197.0,68304.0,5346.0
Tata,Manual,2022.0,Petrol,1199.0,20770.0,8558.0
Tata,Manual,2020.0,Petrol,1199.0,17280.0,7458.0
Maruti,Manual,2017.0,Petrol,1197.0,47472.0,5720.0
Volkswagen,Automatic,2019.0,Petrol,1197.0,30946.0,11616.0
Mahindra,Automatic,2019.0,Diesel,2179.0,36879.0,11286.0
Honda,Automatic,2016.0,Petrol,1497.0,68957.0,7381.0
Honda,Automatic,2014.0,Petrol,1497.0,69403.0,6083.0
Honda,Manual,2011.0,Petrol,1497.0,88490.0,2882.0
Hyundai,Manual,2022.0,Petrol,1197.0,17035.0,6908.0
Hyundai,Manual,2016.0,Petrol,1591.0,77095.0,7700.0
Maruti,Manual,2016.0,Petrol,1197.0,40875.0,5214.0
Maruti,Manual,2021.0,Petrol,1197.0,28415.0,7018.0
Tata,Manual,2021.0,Petrol,1199.0,46101.0,8459.0
Hyundai,Automatic,2014.0,Petrol,1197.0,36652.0,4323.0
Maruti,Manual,2019.0,Petrol,1462.0,41735.0,7908.999999999999
Maruti,Automatic,2019.0,Petrol,1197.0,22779.0,7073.0
Mahindra,Manual,2019.0,Diesel,2179.0,46648.0,12089.0
Maruti,Manual,2011.0,Petrol,998.0,93282.0,1793.0
Tata,Manual,2020.0,Petrol,1199.0,67014.0,5379.0
Maruti,Manual,2020.0,CNG,998.0,64311.0,4532.0
Mahindra,Manual,2021.0,Diesel,1497.0,18252.0,10571.0
Honda,Manual,2016.0,Petrol,1497.0,56424.0,6699.0
Hyundai,Manual,2018.0,Petrol,1591.0,103772.0,7952.999999999999
Maruti,Manual,2021.0,Petrol,1197.0,29923.0,6666.0
Maruti,Manual,2021.0,Petrol,1197.0,41436.0,6501.0
Renault,Manual,2022.0,Petrol,999.0,7021.0,6919.0
Tata,Manual,2021.0,Petrol,1199.0,29667.0,5588.0
Hyundai,Manual,2019.0,Petrol,1086.0,62309.0,4477.0
Volkswagen,Automatic,2019.0,Petrol,1197.0,58082.0,10010.0
Hyundai,Manual,2015.0,Petrol,1197.0,29116.0,3992.9999999999995
Maruti,Manual,2020.0,Petrol,998.0,30782.0,4058.9999999999995
Honda,Automatic,2017.0,Petrol,1199.0,95825.0,5181.0
Honda,Manual,2017.0,Petrol,1199.0,59577.0,4576.0
Renault,Automatic,2023.0,Petrol,999.0,21044.0,8150.999999999999
Renault,Manual,2020.0,Petrol,999.0,11812.0,4477.0
Ford,Manual,2019.0,Diesel,1498.0,78701.0,7755.0
Hyundai,Manual,2021.0,Petrol,1086.0,13421.0,5192.0
Hyundai,Manual,2014.0,Petrol,1197.0,57224.0,3652.0
Renault,Manual,2023.0,Petrol,999.0,14050.0,7513.0
Mahindra,Manual,2019.0,Diesel,2179.0,55608.0,9460.0
Maruti,Manual,2018.0,Petrol,1462.0,51690.0,7315.0
Maruti,Manual,2021.0,Petrol,1197.0,20654.0,6633.0
Hyundai,Automatic,2019.0,Petrol,1591.0,47323.0,12056.0
Maruti,Manual,2018.0,Petrol,1197.0,35462.0,5885.0
Hyundai,Manual,2021.0,Petrol,1197.0,30058.0,6710.0
Renault,Manual,2021.0,Petrol,999.0,28929.0,5775.0
Mahindra,Automatic,2020.0,Diesel,1497.0,64038.0,9482.0
Maruti,Manual,2021.0,Petrol,1197.0,25705.0,7359.0
Maruti,Automatic,2018.0,Petrol,998.0,35251.0,4928.0
Mahindra,Manual,2019.0,Diesel,1497.0,21843.0,7612.0
KIA,Manual,2022.0,Petrol,998.0,15612.0,10494.0
Hyundai,Manual,2014.0,Petrol,1197.0,33251.0,4279.0
Hyundai,Manual,2021.0,CNG,1197.0,30541.0,6941.0
Maruti,Manual,2017.0,Petrol,1373.0,43537.0,7117.0
Hyundai,Automatic,2017.0,Petrol,1591.0,76048.0,9108.0
Maruti,Manual,2018.0,Petrol,1197.0,31802.0,6105.0
Maruti,Manual,2022.0,Petrol,1197.0,13103.0,6248.0
Maruti,Manual,2022.0,CNG,998.0,38261.0,6776.0
Maruti,Manual,2019.0,Petrol,998.0,63194.0,4334.0
KIA,Automatic,2021.0,Diesel,1493.0,66666.0,16412.0
Maruti,Manual,2014.0,Petrol,998.0,32631.0,3168.0
Hyundai,Manual,2022.0,Petrol,1197.0,33898.0,7161.0
